instrument_token,tradingsymbol,name,expiry,strike,tick_size,lot_size,exchange,instrument_type,segment,isin,freeze_quantity
256265,NIFTY 50,NIFTY 50,,0.0,0.0,0,NSE,EQ,INDICES,,
256777,NIFTY MIDCAP 100,NIFTY MIDCAP 100,,0.0,0.0,0,NSE,EQ,INDICES,,
260105,NIFTY BANK,NIFTY BANK,,0.0,0.0,0,NSE,EQ,INDICES,,
260617,NIFTY 100,NIFTY 100,,0.0,0.0,0,NSE,EQ,INDICES,,
257033,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,,0.0,0.0,0,NSE,EQ,INDICES,,
257289,NIFTY COMMODITIES,NIFTY COMMODITIES,,0.0,0.0,0,NSE,EQ,INDICES,,
257545,NIFTY CONSUMPTION,NIFTY CONSUMPTION,,0.0,0.0,0,NSE,EQ,INDICES,,
257801,NIFTY FIN SERVICE,NIFTY FIN SERVICE,,0.0,0.0,0,NSE,EQ,INDICES,,
258825,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,,0.0,0.0,0,NSE,EQ,INDICES,,
259081,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,,0.0,0.0,0,NSE,EQ,INDICES,,
259337,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,,0.0,0.0,0,NSE,EQ,INDICES,,
259593,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,,0.0,0.0,0,NSE,EQ,INDICES,,
259849,NIFTY IT,NIFTY IT,,0.0,0.0,0,NSE,EQ,INDICES,,
260873,NIFTY MIDCAP 50,NIFTY MIDCAP 50,,0.0,0.0,0,NSE,EQ,INDICES,,
261129,NIFTY REALTY,NIFTY REALTY,,0.0,0.0,0,NSE,EQ,INDICES,,
261385,NIFTY INFRA,NIFTY INFRA,,0.0,0.0,0,NSE,EQ,INDICES,,
261641,NIFTY ENERGY,NIFTY ENERGY,,0.0,0.0,0,NSE,EQ,INDICES,,
261897,NIFTY FMCG,NIFTY FMCG,,0.0,0.0,0,NSE,EQ,INDICES,,
262153,NIFTY MNC,NIFTY MNC,,0.0,0.0,0,NSE,EQ,INDICES,,
262409,NIFTY PHARMA,NIFTY PHARMA,,0.0,0.0,0,NSE,EQ,INDICES,,
262665,NIFTY PSE,NIFTY PSE,,0.0,0.0,0,NSE,EQ,INDICES,,
262921,NIFTY PSU BANK,NIFTY PSU BANK,,0.0,0.0,0,NSE,EQ,INDICES,,
263177,NIFTY SERV SECTOR,NIFTY SERV SECTOR,,0.0,0.0,0,NSE,EQ,INDICES,,
263433,NIFTY AUTO,NIFTY AUTO,,0.0,0.0,0,NSE,EQ,INDICES,,
263689,NIFTY METAL,NIFTY METAL,,0.0,0.0,0,NSE,EQ,INDICES,,
263945,NIFTY MEDIA,NIFTY MEDIA,,0.0,0.0,0,NSE,EQ,INDICES,,
264457,NIFTY 200,NIFTY 200,,0.0,0.0,0,NSE,EQ,INDICES,,
264713,HANGSENG BEES-NAV,HANGSENG BEES-NAV,,0.0,0.0,0,NSE,EQ,INDICES,,
264969,INDIA VIX,INDIA VIX,,0.0,0.0,0,NSE,EQ,INDICES,,
265225,NIFTY50 DIV POINT,NIFTY50 DIV POINT,,0.0,0.0,0,NSE,EQ,INDICES,,
265737,NIFTY200 QUALTY30,NIFTY200 QUALTY30,,0.0,0.0,0,NSE,EQ,INDICES,,
265993,NIFTY ALPHA 50,NIFTY ALPHA 50,,0.0,0.0,0,NSE,EQ,INDICES,,
266249,NIFTY MIDCAP 150,NIFTY MIDCAP 150,,0.0,0.0,0,NSE,EQ,INDICES,,
266505,NIFTY MIDSML 400,NIFTY MIDSML 400,,0.0,0.0,0,NSE,EQ,INDICES,,
266761,NIFTY SMLCAP 50,NIFTY SMLCAP 50,,0.0,0.0,0,NSE,EQ,INDICES,,
267017,NIFTY SMLCAP 100,NIFTY SMLCAP 100,,0.0,0.0,0,NSE,EQ,INDICES,,
