Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Nov-2025,25-Nov-2025,CE,26750.00,20.25,20.25,12.80,15.60,16.05,15.60,9879.00,198310.60,113.16,245550.00,55125.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24000.00,1940.00,2026.00,1910.00,1987.90,1977.20,1987.90,286.00,5571.72,423.72,520425.00,-1875.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,27200.00,3.15,4.05,3.00,3.70,3.55,3.70,9347.00,190703.45,24.65,466650.00,-16875.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24050.00,1947.30,1947.30,1947.30,1947.30,1947.30,1875.10,1.00,19.50,1.46,900.00,-75.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23600.00,2389.65,2389.65,2389.65,2389.65,2389.65,2389.65,1.00,19.49,1.79,2100.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,22950.00,3025.45,3035.00,3025.45,3030.25,3035.00,3030.25,2.00,38.97,4.54,300.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23050.00,2930.70,2930.70,2930.70,2930.70,2930.70,2872.95,1.00,19.49,2.20,225.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24600.00,1364.95,1420.00,1312.00,1383.70,1382.50,1383.70,29.00,564.89,29.84,47100.00,-450.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25350.00,642.15,713.35,614.65,679.25,670.60,679.25,544.00,10611.11,268.31,49725.00,-16725.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24400.00,1550.75,1612.10,1530.10,1612.10,1612.10,1526.50,10.00,194.76,11.76,8850.00,150.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23950.00,2038.05,2038.05,2038.05,2038.05,2038.05,1974.85,1.00,19.49,1.53,375.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24900.00,1060.00,1121.90,1016.10,1103.25,1103.25,1103.25,88.00,1713.77,70.37,50625.00,-1950.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25850.00,260.30,311.00,242.95,283.85,280.20,283.85,16992.00,332934.50,3502.10,244275.00,51750.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24500.00,1401.00,1478.00,1365.70,1441.10,1427.55,1441.10,778.00,15128.85,833.10,75450.00,-8775.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23900.00,-,-,-,1755.00,1755.00,1998.40,-,-,-,1875.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25300.00,554.00,690.00,554.00,647.25,641.70,647.25,6833.00,132888.93,3232.76,249600.00,-43800.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23850.00,-,-,-,1894.60,1894.60,2048.35,-,-,-,450.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24550.00,1335.70,1335.70,1335.50,1335.50,1335.50,1349.05,3.00,58.24,3.00,675.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27400.00,1.10,1.30,0.80,0.90,0.90,0.90,27765.00,570590.13,19.38,589275.00,148950.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24200.00,1712.50,1712.50,1707.05,1707.05,1707.05,1698.65,4.00,77.73,5.13,2250.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26900.00,1.55,2.20,1.55,1.85,1.70,1.85,175328.00,3537480.18,237.78,1623450.00,940050.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27550.00,0.90,1.00,0.75,0.80,0.80,0.80,9046.00,186918.64,5.67,92475.00,42450.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26150.00,44.00,63.00,37.85,49.15,48.00,49.15,681162.00,13384385.11,25095.38,1774650.00,1113750.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24700.00,1209.65,1269.70,1173.00,1263.75,1263.75,1199.30,281.00,5460.00,254.47,24450.00,-5250.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26850.00,1.75,2.35,1.70,2.15,2.00,2.15,115604.00,2328156.12,180.57,766950.00,489225.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27100.00,1.15,1.35,1.00,1.10,1.15,1.10,228638.00,4647257.97,190.62,3090075.00,893400.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24250.00,-,-,-,1490.70,1490.70,1648.70,-,-,-,1050.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26100.00,63.15,79.80,49.30,63.45,62.05,63.45,1323097.00,25962212.18,62588.40,3766050.00,1535625.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26450.00,7.25,12.65,6.50,9.60,9.75,9.60,336682.00,6681360.66,2431.49,1150125.00,602100.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27650.00,1.00,1.10,0.75,0.80,0.80,0.80,3433.00,71194.03,2.19,30300.00,2625.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24600.00,1289.95,1368.85,1269.70,1342.35,1342.35,1342.35,34.00,660.57,33.27,16200.00,825.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24300.00,1609.00,1609.00,1609.00,1609.00,1609.00,1598.75,1.00,19.43,1.21,2925.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24750.00,1137.00,1188.05,1136.85,1188.05,1188.05,1188.05,9.00,174.87,7.81,2325.00,150.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26350.00,13.30,31.00,12.60,16.45,16.55,16.45,470774.00,9309497.97,5826.80,1591725.00,592650.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,27300.00,1.05,1.10,0.80,0.90,0.90,0.90,76569.00,1567804.07,53.80,1185600.00,27825.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26250.00,30.00,37.65,21.85,28.70,28.40,28.70,602154.00,11867842.49,12935.61,1774350.00,1008075.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25100.00,807.15,882.40,769.40,843.35,833.85,843.35,739.00,14365.99,454.31,88875.00,-13350.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,25500.00,425.15,501.25,395.00,462.90,455.05,462.90,55462.00,1079278.46,18567.71,1027725.00,-656025.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,24650.00,1236.10,1253.40,1236.00,1247.50,1247.50,1249.20,8.00,155.39,7.49,525.00,75.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23700.00,-,-,-,2043.35,2043.35,2198.20,-,-,-,375.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,23950.00,-,-,-,1791.55,1791.55,1948.45,-,-,-,300.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,CE,26000.00,92.00,123.60,79.20,101.70,99.15,101.70,2622516.00,51335317.25,196255.25,6831225.00,1613925.00,25875.80
