Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Nov-2025,18-Nov-2025,PE,25650.00,70.00,74.90,39.10,44.30,45.55,44.30,570817.00,11002992.28,21900.24,3165825.00,1641150.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,23900.00,2.25,2.90,1.95,2.75,2.85,2.75,39813.00,713723.34,75.31,349050.00,23850.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,23550.00,2.05,2.60,1.55,2.35,2.50,2.35,6759.00,119391.43,10.59,43650.00,27450.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,27750.00,-,-,-,1988.20,1988.20,1848.00,-,-,-,225.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,24550.00,4.65,4.80,3.25,4.20,4.40,4.20,48996.00,902295.50,156.65,292800.00,-23175.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,26050.00,223.65,258.45,169.70,193.00,198.25,193.00,129392.00,2547116.03,19119.83,304200.00,273225.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,25150.00,6.35,12.80,6.35,9.35,10.30,9.35,174778.00,3298077.84,1327.82,1282950.00,337500.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,26650.00,777.85,777.85,684.65,721.15,722.45,721.15,30.00,615.96,16.34,525.00,225.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,27450.00,-,-,-,1701.35,1701.35,1548.30,-,-,-,-,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,25200.00,14.50,14.75,8.95,10.35,11.35,10.35,354058.00,6694731.70,3035.50,3645450.00,749775.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,26400.00,520.05,551.35,436.50,474.95,480.50,474.95,2872.00,57892.68,1027.08,41100.00,28275.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,25900.00,138.00,167.00,100.15,114.65,118.55,114.65,2335813.00,45585620.03,212452.51,5126775.00,4471500.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,24800.00,6.45,6.45,4.35,5.35,5.70,5.35,293678.00,5463639.48,1228.68,3972375.00,1501425.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,26700.00,899.55,899.55,726.85,763.90,775.30,763.90,114.00,2348.97,66.12,5250.00,1425.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,24600.00,4.25,5.05,3.40,4.40,4.75,4.40,215408.00,3974995.33,717.73,2209425.00,315150.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,25450.00,25.00,33.90,19.70,21.45,22.80,21.45,316648.00,6049850.92,5832.22,2363175.00,820275.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,26500.00,596.00,650.00,530.45,565.90,578.00,565.90,6365.00,129273.59,2769.22,307350.00,44100.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,26900.00,967.40,970.95,926.85,969.60,969.35,969.60,24.00,501.32,17.12,3150.00,675.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,27150.00,-,-,-,1402.35,1402.35,1248.70,-,-,-,-,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,27400.00,-,-,-,1651.50,1651.50,1498.35,-,-,-,-,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,26800.00,910.00,933.85,845.00,862.55,871.80,862.55,66.00,1370.65,44.05,5625.00,450.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,27650.00,-,-,-,1896.10,1896.10,1748.10,-,-,-,75.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,27800.00,-,-,-,2037.55,2037.55,1897.95,-,-,-,225.00,-,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,23650.00,2.15,2.65,1.60,2.45,2.45,2.45,3496.00,62016.02,5.72,37350.00,24525.00,25875.80
NIFTY,12-Nov-2025,18-Nov-2025,PE,25050.00,11.50,11.50,6.30,7.75,8.50,7.75,130351.00,2449778.45,809.04,876525.00,344250.00,25875.80
