id,score,sharpe,dd,trades,sanity,rule_summary
e8fdc1e6,0.885065142468224,0.0,0.0,4,FAIL,"['ema_cross', 'profit_target', 'time_stop', 'adx_filter']"
907e8fcc,0.8519435174747758,0.0,0.0,7,FAIL,"['ema_cross', 'time_stop', 'adx_filter']"
7c22f956,0.8507206447657841,0.0,0.0,8,PASS,"['rsi_long', 'profit_target', 'atr_stop', 'adx_filter']"
9eb05872,0.8500455397872683,0.0,0.0,2,PASS,"['bb_breakout', 'atr_stop']"
bba15cf8,0.19352776572562616,0.0,0.0,21,PASS,"['rsi_long', 'time_stop', 'adx_filter']"
e5c11015,0.18818474982317104,0.0,0.0,27,PASS,"['donchian_breakout', 'time_stop', 'atr_stop']"
36dace16,0.17135712479571696,0.0,0.0,49,PASS,"['rsi_long', 'profit_target', 'atr_stop']"
78d6de2d,0.1,0.0,0.0,0,PASS,"['ema_cross', 'atr_stop', 'adx_filter']"
61155d79,0.1,0.0,0.0,0,PASS,"['bb_breakout', 'profit_target', 'adx_filter']"
8c37dc8f,0.1,0.0,0.0,0,PASS,"['donchian_breakout', 'profit_target']"
a4411fb8,0.09940616518142584,0.0,0.0,15,N/A,"['donchian_breakout', 'atr_stop', 'time_stop']"
d767f0a4,0.09907814665217736,0.0,0.0,3,N/A,"['donchian_breakout', 'atr_stop', 'ema_trend_filter']"
f16d7f3f,0.0972823974035371,0.0,0.0,12,N/A,"['donchian_breakout', 'time_stop']"
351c56e8,0.09696579415740052,0.0,0.0,10,N/A,"['rsi_long', 'time_stop', 'profit_target', 'adx_filter']"
ab1bd008,0.0956970415234544,0.0,0.0,4,N/A,"['donchian_breakout', 'atr_stop', 'adx_filter']"
