id,score,sharpe,dd,trades,sanity,rule_summary
324794b2,0.9565028448068252,0.0,0.0,5,PASS,"['ema_cross', 'time_stop', 'adx_filter']"
353388f6,0.8608788462049993,0.0,0.0,8,PASS,"['ema_cross', 'time_stop']"
908990a7,0.8557472703978102,0.0,0.0,13,PASS,"['rsi_long', 'profit_target', 'time_stop', 'adx_filter']"
a6b0bb4c,0.853955082128335,0.0,0.0,10,PASS,"['donchian_breakout', 'atr_stop', 'profit_target', 'ema_trend_filter']"
c0223fda,0.8504833438459606,0.0,0.0,13,PASS,"['rsi_long', 'time_stop']"
7b7db4c5,0.14393412416455714,0.0,0.0,31,PASS,"['rsi_long', 'time_stop']"
7688a517,0.14311487459829447,0.0,0.0,45,PASS,"['rsi_long', 'time_stop', 'profit_target']"
abe50aea,0.13249705927609817,0.0,0.0,44,PASS,"['rsi_long', 'atr_stop', 'time_stop']"
91b6c6ef,0.1,0.0,0.0,0,PASS,"['donchian_breakout', 'profit_target']"
99c1b326,0.09984915174596894,0.0,0.0,10,PASS,"['donchian_breakout', 'atr_stop', 'time_stop']"
d2b5785e,0.09826329724749877,0.0,0.0,2,N/A,"['bb_breakout', 'atr_stop']"
06236640,0.09445278528651878,0.0,0.0,11,N/A,"['bb_breakout', 'profit_target', 'time_stop', 'ema_trend_filter']"
84e3dab6,0.0892901470258135,0.0,0.0,4,N/A,"['bb_breakout', 'atr_stop', 'adx_filter']"
998535ac,0.08290141610720136,0.0,0.0,18,N/A,"['donchian_breakout', 'profit_target', 'time_stop']"
e0a94d62,0.08261411654220827,0.0,0.0,10,N/A,"['rsi_long', 'time_stop', 'profit_target', 'ema_trend_filter']"
