Timestamp,Instrument,ID,Score,Sharpe,Calmar,CAGR,DD,Trades,PosFolds
20260103_060931,NIFTY,ba68feb9eb65,122.71,1.44,4.07,0.14,0.04,11,2
20260103_060931,NIFTY,2228b681ebaf,89.54,1.25,2.26,0.15,0.07,17,2
20260103_060931,NIFTY,d28ce6bcf7b4,77.23,0.93,2.63,0.02,0.01,1,1
20260103_060931,NIFTY,e04d7fd782fc,36.46,0.4,0.43,0.05,0.11,17,2
20260103_060931,NIFTY,8c3d3db24f1e,35.06,0.35,0.45,0.06,0.14,52,1
20260103_060931,SENSEX,5157b87fd699,205.31,2.34,6.87,0.35,0.05,11,2
20260103_060931,SENSEX,a20d539d5500,191.54,2.16,7.28,0.22,0.03,23,2
20260103_060931,SENSEX,c7d3e01dbb0d,186.66,2.1,6.81,0.24,0.03,8,2
20260103_060931,SENSEX,6bfd52ef5400,158.95,1.91,4.86,0.26,0.05,1,1
20260103_060931,SENSEX,6d47e3527ce5,158.31,2.02,4.35,0.3,0.07,1,1
