,id,config,metrics,score,timeframe,instrument
0,796b3023a9823939310ffe78ac0ca59e,"{'entry_block': 'entry_trend_ema_cross', 'entry_params': {'fast_period': 40, 'slow_period': 140, 'adx_filter': False, 'adx_threshold': 15}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 3.0, 'trailing': False}, 'exit_block': 'exit_rr', 'exit_params': {'risk_reward': 2.5}, 'id': '796b3023a9823939310ffe78ac0ca59e'}","{'sharpe': -1.421354058043641, 'calmar': 2.82361442380037, 'cagr': -0.026727410345274094, 'max_drawdown': 0.012467761414550187, 'positive_folds': 1, 'total_trades': 5, 'sanity_passed': True}",-27.318497999560783,15m,NIFTY
1,8e908088d51ae4f479da16912914cff0,"{'entry_block': 'entry_trend_ema_cross', 'entry_params': {'fast_period': 25, 'slow_period': 110, 'adx_filter': False, 'adx_threshold': 20}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 3.0, 'trailing': True}, 'exit_block': 'exit_rr', 'exit_params': {'risk_reward': 2.5}, 'id': '8e908088d51ae4f479da16912914cff0'}","{'sharpe': -1.3585440915467797, 'calmar': 3.6525155157032305, 'cagr': -0.024217266757206035, 'max_drawdown': 0.01283072191088344, 'positive_folds': 1, 'total_trades': 5, 'sanity_passed': True}",-36.77649398084047,15m,NIFTY
2,93c89cbc16021520c4e396e9212eec26,"{'entry_block': 'entry_breakout_donchian', 'entry_params': {'period': 45, 'filter_ma': False, 'ma_period': 150}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 2.5, 'trailing': False}, 'exit_block': 'exit_rr', 'exit_params': {'risk_reward': 3.0}, 'id': '93c89cbc16021520c4e396e9212eec26'}","{'sharpe': -1.1059870660413886, 'calmar': 1.8121916298602585, 'cagr': -0.044002960353892284, 'max_drawdown': 0.01722243434011383, 'positive_folds': 1, 'total_trades': 6, 'sanity_passed': True}",-67.28953604668476,15m,NIFTY
5,2c2b7ef0b6e7ff9248a96dc832bd63f6,"{'entry_block': 'entry_trend_ema_cross', 'entry_params': {'fast_period': 5, 'slow_period': 50, 'adx_filter': True, 'adx_threshold': 15}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 2.0, 'trailing': False}, 'exit_block': 'exit_rr', 'exit_params': {'risk_reward': 4.0}, 'id': '2c2b7ef0b6e7ff9248a96dc832bd63f6'}","{'sharpe': -0.772225534039328, 'calmar': -2.107380316027548, 'cagr': -0.03363584938725794, 'max_drawdown': 0.014292648645961118, 'positive_folds': 1, 'total_trades': 7, 'sanity_passed': True}",-96.52408057242675,15m,NIFTY
6,995c2a9f8953706bb741bad733049cc8,"{'entry_block': 'entry_trend_ema_cross', 'entry_params': {'fast_period': 35, 'slow_period': 50, 'adx_filter': True, 'adx_threshold': 15}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 4.0, 'trailing': False}, 'exit_block': 'exit_rr', 'exit_params': {'risk_reward': 3.5}, 'id': '995c2a9f8953706bb741bad733049cc8'}","{'sharpe': -2.640539291006977, 'calmar': -6.110039726026575, 'cagr': -0.09975159565758618, 'max_drawdown': 0.016325850588610774, 'positive_folds': 0, 'total_trades': 2, 'sanity_passed': True}",-115.19738035883229,15m,NIFTY
7,eff6d202387d40f0e1f2191a6029a679,"{'entry_block': 'entry_mean_rev_rsi', 'entry_params': {'rsi_period': 10, 'oversold': 20, 'exit_rsi': 50}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 4.0, 'trailing': False}, 'exit_block': 'exit_rr', 'exit_params': {'risk_reward': 4.0}, 'id': 'eff6d202387d40f0e1f2191a6029a679'}","{'sharpe': -5.261333341783888, 'calmar': -11.722699112684237, 'cagr': -0.09738711843861508, 'max_drawdown': 0.013525617246394832, 'positive_folds': 0, 'total_trades': 5, 'sanity_passed': True}",-145.96003831125034,15m,NIFTY
10,cf1acced1883f2d30d530556e50455c4,"{'entry_block': 'entry_breakout_donchian', 'entry_params': {'period': 10, 'filter_ma': False, 'ma_period': 100}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 3.0, 'trailing': True}, 'exit_block': 'exit_rr', 'exit_params': {'risk_reward': 2.5}, 'id': 'cf1acced1883f2d30d530556e50455c4'}","{'sharpe': -4.627467686984186, 'calmar': -9.696857003797284, 'cagr': -0.2641437676149747, 'max_drawdown': 0.04072985935267643, 'positive_folds': 0, 'total_trades': 17, 'sanity_passed': True}",-183.45178888270289,15m,NIFTY
11,5545f7fb1fd7830194d51e4288a6f444,"{'entry_block': 'entry_mean_rev_rsi', 'entry_params': {'rsi_period': 8, 'oversold': 40, 'exit_rsi': 80}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 4.0, 'trailing': True}, 'exit_block': 'exit_time', 'exit_params': {'max_bars': 24}, 'id': '5545f7fb1fd7830194d51e4288a6f444'}","{'sharpe': -5.544550480817799, 'calmar': -10.351131346842537, 'cagr': -0.3723756335890541, 'max_drawdown': 0.03733587167664926, 'positive_folds': 0, 'total_trades': 32, 'sanity_passed': True}",-210.38816887197999,15m,NIFTY
13,603c3eef9dadaf45d9a51d9de874526f,"{'entry_block': 'entry_mean_rev_rsi', 'entry_params': {'rsi_period': 8, 'oversold': 40, 'exit_rsi': 60}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 2.0, 'trailing': False}, 'exit_block': 'exit_rr', 'exit_params': {'risk_reward': 3.0}, 'id': '603c3eef9dadaf45d9a51d9de874526f'}","{'sharpe': -10.062751702191719, 'calmar': -8.331996282409001, 'cagr': -0.630827920860982, 'max_drawdown': 0.07943461347807933, 'positive_folds': 0, 'total_trades': 55, 'sanity_passed': True}",-243.87011653939504,15m,NIFTY
14,f308e21b03a4e06d6eb9fd86c7725006,"{'entry_block': 'entry_mean_rev_rsi', 'entry_params': {'rsi_period': 2, 'oversold': 30, 'exit_rsi': 65}, 'risk_block': 'risk_atr', 'risk_params': {'atr_period': 14, 'multiplier': 2.0, 'trailing': False}, 'exit_block': 'exit_time', 'exit_params': {'max_bars': 24}, 'id': 'f308e21b03a4e06d6eb9fd86c7725006'}","{'sharpe': -12.902845493158228, 'calmar': -7.940798237882536, 'cagr': -0.711312463816826, 'max_drawdown': 0.09860371366844993, 'positive_folds': 0, 'total_trades': 77, 'sanity_passed': True}",-331.4595800069459,15m,NIFTY
